model_name,version,generation,data_snapshot,model_type,train_rows,test_rows,classes_test,classes_train,roc_auc,accuracy,precision_above,recall_above,f1_above,precision_below,recall_below,f1_below,confusion_matrix,features_count,features,top_features
v1.0_lr_l1,v1.0_lr_l1,v1.0,v1.0_model_mixed66,LogisticRegression,7100,525,"{'1': 297, '0': 228}","{'1': 3938, '0': 3162}",0.6258,0.6305,0.6366,0.8081,0.7122,0.6149,0.3991,0.484,"[[91, 137], [57, 240]]",39,"['duration_seconds', 'face_count', 'brightness', 'colorfulness', 'view_count_upload', 'like_count_upload', 'comment_count_upload', 'subscriber_count_upload', 'hours_since_publish_upload', 'view_count_24h', 'like_count_24h', 'comment_count_24h', 'subscriber_count_24h', 'hours_since_publish_24h', 'baseline_baseline_video_count', 'view_count_velocity_24h', 'like_count_velocity_24h', 'comment_count_velocity_24h', 'subscriber_count_velocity_24h', 'views_per_sub_upload', 'likes_per_sub_upload', 'comments_per_sub_upload', 'views_per_sub_24h', 'likes_per_sub_24h', 'comments_per_sub_24h', 'title_category', 'desc_category', 'title_length', 'title_word_count', 'desc_length', 'desc_link_count', 'desc_hashtag_count', 'tag_count', 'has_tags', 'publish_hour', 'publish_dayofweek', 'publish_is_weekend', 'is_short', 'duration_minutes']","[{'feature': 'view_count_24h', 'coefficient': -1.763293}, {'feature': 'like_count_24h', 'coefficient': 1.300897}, {'feature': 'views_per_sub_24h', 'coefficient': -0.841451}, {'feature': 'subscriber_count_24h', 'coefficient': -0.539734}, {'feature': 'likes_per_sub_24h', 'coefficient': 0.535286}, {'feature': 'subscriber_count_upload', 'coefficient': 0.39286}, {'feature': 'title_word_count', 'coefficient': -0.325732}, {'feature': 'like_count_upload', 'coefficient': 0.320004}, {'feature': 'title_length', 'coefficient': 0.287398}, {'feature': 'view_count_upload', 'coefficient': -0.283833}, {'feature': 'baseline_baseline_video_count', 'coefficient': 0.244642}, {'feature': 'comments_per_sub_24h', 'coefficient': 0.218332}, {'feature': 'likes_per_sub_upload', 'coefficient': 0.163887}, {'feature': 'is_short', 'coefficient': -0.151704}, {'feature': 'publish_hour', 'coefficient': -0.118314}, {'feature': 'desc_category', 'coefficient': -0.114824}, {'feature': 'comment_count_24h', 'coefficient': 0.106644}, {'feature': 'desc_length', 'coefficient': 0.105082}, {'feature': 'comment_count_upload', 'coefficient': -0.097824}, {'feature': 'comments_per_sub_upload', 'coefficient': 0.093721}]"
v1.0_rf,v1.0_rf,v1.0,v1.0_model_mixed66,RandomForest,7100,525,"{'1': 297, '0': 228}","{'1': 3938, '0': 3162}",0.7595,0.6952,0.7161,0.7643,0.7394,0.6635,0.6053,0.633,"[[138, 90], [70, 227]]",39,"['duration_seconds', 'face_count', 'brightness', 'colorfulness', 'view_count_upload', 'like_count_upload', 'comment_count_upload', 'subscriber_count_upload', 'hours_since_publish_upload', 'view_count_24h', 'like_count_24h', 'comment_count_24h', 'subscriber_count_24h', 'hours_since_publish_24h', 'baseline_baseline_video_count', 'view_count_velocity_24h', 'like_count_velocity_24h', 'comment_count_velocity_24h', 'subscriber_count_velocity_24h', 'views_per_sub_upload', 'likes_per_sub_upload', 'comments_per_sub_upload', 'views_per_sub_24h', 'likes_per_sub_24h', 'comments_per_sub_24h', 'title_category', 'desc_category', 'title_length', 'title_word_count', 'desc_length', 'desc_link_count', 'desc_hashtag_count', 'tag_count', 'has_tags', 'publish_hour', 'publish_dayofweek', 'publish_is_weekend', 'is_short', 'duration_minutes']","[{'feature': 'view_count_24h', 'importance': 0.110628}, {'feature': 'view_count_velocity_24h', 'importance': 0.089769}, {'feature': 'like_count_24h', 'importance': 0.076313}, {'feature': 'views_per_sub_24h', 'importance': 0.065565}, {'feature': 'likes_per_sub_24h', 'importance': 0.065548}, {'feature': 'like_count_velocity_24h', 'importance': 0.062676}, {'feature': 'view_count_upload', 'importance': 0.044063}, {'feature': 'likes_per_sub_upload', 'importance': 0.034521}, {'feature': 'views_per_sub_upload', 'importance': 0.032086}, {'feature': 'like_count_upload', 'importance': 0.031209}, {'feature': 'comments_per_sub_24h', 'importance': 0.030045}, {'feature': 'comment_count_24h', 'importance': 0.02581}, {'feature': 'comment_count_velocity_24h', 'importance': 0.024145}, {'feature': 'subscriber_count_24h', 'importance': 0.023996}, {'feature': 'duration_seconds', 'importance': 0.02358}, {'feature': 'subscriber_count_upload', 'importance': 0.023423}, {'feature': 'duration_minutes', 'importance': 0.023414}, {'feature': 'brightness', 'importance': 0.023017}, {'feature': 'hours_since_publish_upload', 'importance': 0.022917}, {'feature': 'colorfulness', 'importance': 0.022427}]"
v1.0_xgb,v1.0_xgb,v1.0,v1.0_model_mixed66,XGBoost,7100,525,"{'1': 297, '0': 228}","{'1': 3938, '0': 3162}",0.7703,0.7105,0.7562,0.7205,0.7379,0.657,0.6974,0.6766,"[[159, 69], [83, 214]]",39,"['duration_seconds', 'face_count', 'brightness', 'colorfulness', 'view_count_upload', 'like_count_upload', 'comment_count_upload', 'subscriber_count_upload', 'hours_since_publish_upload', 'view_count_24h', 'like_count_24h', 'comment_count_24h', 'subscriber_count_24h', 'hours_since_publish_24h', 'baseline_baseline_video_count', 'view_count_velocity_24h', 'like_count_velocity_24h', 'comment_count_velocity_24h', 'subscriber_count_velocity_24h', 'views_per_sub_upload', 'likes_per_sub_upload', 'comments_per_sub_upload', 'views_per_sub_24h', 'likes_per_sub_24h', 'comments_per_sub_24h', 'title_category', 'desc_category', 'title_length', 'title_word_count', 'desc_length', 'desc_link_count', 'desc_hashtag_count', 'tag_count', 'has_tags', 'publish_hour', 'publish_dayofweek', 'publish_is_weekend', 'is_short', 'duration_minutes']","[{'feature': 'like_count_24h', 'importance': 0.089591}, {'feature': 'view_count_24h', 'importance': 0.063447}, {'feature': 'baseline_baseline_video_count', 'importance': 0.043288}, {'feature': 'view_count_velocity_24h', 'importance': 0.038826}, {'feature': 'like_count_velocity_24h', 'importance': 0.038038}, {'feature': 'desc_category', 'importance': 0.03779}, {'feature': 'likes_per_sub_24h', 'importance': 0.035229}, {'feature': 'views_per_sub_24h', 'importance': 0.033889}, {'feature': 'publish_hour', 'importance': 0.029065}, {'feature': 'title_category', 'importance': 0.028104}, {'feature': 'comment_count_24h', 'importance': 0.026441}, {'feature': 'desc_length', 'importance': 0.025939}, {'feature': 'comments_per_sub_24h', 'importance': 0.02512}, {'feature': 'desc_hashtag_count', 'importance': 0.024655}, {'feature': 'comment_count_velocity_24h', 'importance': 0.024633}, {'feature': 'duration_minutes', 'importance': 0.0234}, {'feature': 'view_count_upload', 'importance': 0.022792}, {'feature': 'like_count_upload', 'importance': 0.022648}, {'feature': 'desc_link_count', 'importance': 0.02229}, {'feature': 'subscriber_count_velocity_24h', 'importance': 0.022151}]"
v2.0_lr_l1,v2.0_lr_l1,v2.0,v2.0_mixed_70real,LogisticRegression,4998,814,"{'1': 458, '0': 356}","{'1': 2792, '0': 2206}",0.6464,0.6229,0.636,0.7707,0.6969,0.5946,0.4326,0.5008,"[[154, 202], [105, 353]]",39,"['duration_seconds', 'face_count', 'brightness', 'colorfulness', 'view_count_upload', 'like_count_upload', 'comment_count_upload', 'subscriber_count_upload', 'hours_since_publish_upload', 'view_count_24h', 'like_count_24h', 'comment_count_24h', 'subscriber_count_24h', 'hours_since_publish_24h', 'baseline_baseline_video_count', 'view_count_velocity_24h', 'like_count_velocity_24h', 'comment_count_velocity_24h', 'subscriber_count_velocity_24h', 'views_per_sub_upload', 'likes_per_sub_upload', 'comments_per_sub_upload', 'views_per_sub_24h', 'likes_per_sub_24h', 'comments_per_sub_24h', 'title_category', 'desc_category', 'title_length', 'title_word_count', 'desc_length', 'desc_link_count', 'desc_hashtag_count', 'tag_count', 'has_tags', 'publish_hour', 'publish_dayofweek', 'publish_is_weekend', 'is_short', 'duration_minutes']","[{'feature': 'view_count_24h', 'coefficient': -1.605701}, {'feature': 'like_count_24h', 'coefficient': 1.086448}, {'feature': 'likes_per_sub_24h', 'coefficient': 0.761791}, {'feature': 'subscriber_count_upload', 'coefficient': -0.708324}, {'feature': 'subscriber_count_24h', 'coefficient': 0.676819}, {'feature': 'likes_per_sub_upload', 'coefficient': 0.535514}, {'feature': 'views_per_sub_upload', 'coefficient': -0.495353}, {'feature': 'views_per_sub_24h', 'coefficient': -0.3819}, {'feature': 'comment_count_24h', 'coefficient': 0.299635}, {'feature': 'comments_per_sub_upload', 'coefficient': -0.274526}, {'feature': 'is_short', 'coefficient': -0.270373}, {'feature': 'baseline_baseline_video_count', 'coefficient': 0.232086}, {'feature': 'title_word_count', 'coefficient': -0.177499}, {'feature': 'like_count_upload', 'coefficient': -0.174846}, {'feature': 'title_length', 'coefficient': 0.151155}, {'feature': 'comments_per_sub_24h', 'coefficient': 0.135139}, {'feature': 'publish_hour', 'coefficient': -0.13274}, {'feature': 'view_count_upload', 'coefficient': 0.125732}, {'feature': 'title_category', 'coefficient': -0.124872}, {'feature': 'hours_since_publish_upload', 'coefficient': -0.108122}]"
v2.0_rf,v2.0_rf,v2.0,v2.0_mixed_70real,RandomForest,4998,814,"{'1': 458, '0': 356}","{'1': 2792, '0': 2206}",0.7966,0.7334,0.7322,0.8297,0.7779,0.7356,0.6096,0.6667,"[[217, 139], [78, 380]]",39,"['duration_seconds', 'face_count', 'brightness', 'colorfulness', 'view_count_upload', 'like_count_upload', 'comment_count_upload', 'subscriber_count_upload', 'hours_since_publish_upload', 'view_count_24h', 'like_count_24h', 'comment_count_24h', 'subscriber_count_24h', 'hours_since_publish_24h', 'baseline_baseline_video_count', 'view_count_velocity_24h', 'like_count_velocity_24h', 'comment_count_velocity_24h', 'subscriber_count_velocity_24h', 'views_per_sub_upload', 'likes_per_sub_upload', 'comments_per_sub_upload', 'views_per_sub_24h', 'likes_per_sub_24h', 'comments_per_sub_24h', 'title_category', 'desc_category', 'title_length', 'title_word_count', 'desc_length', 'desc_link_count', 'desc_hashtag_count', 'tag_count', 'has_tags', 'publish_hour', 'publish_dayofweek', 'publish_is_weekend', 'is_short', 'duration_minutes']","[{'feature': 'view_count_24h', 'importance': 0.076736}, {'feature': 'view_count_velocity_24h', 'importance': 0.067673}, {'feature': 'like_count_24h', 'importance': 0.062669}, {'feature': 'likes_per_sub_24h', 'importance': 0.061284}, {'feature': 'views_per_sub_24h', 'importance': 0.060313}, {'feature': 'like_count_velocity_24h', 'importance': 0.053466}, {'feature': 'view_count_upload', 'importance': 0.040295}, {'feature': 'duration_minutes', 'importance': 0.035765}, {'feature': 'duration_seconds', 'importance': 0.035605}, {'feature': 'views_per_sub_upload', 'importance': 0.035186}, {'feature': 'likes_per_sub_upload', 'importance': 0.033067}, {'feature': 'like_count_upload', 'importance': 0.030025}, {'feature': 'comments_per_sub_24h', 'importance': 0.028845}, {'feature': 'subscriber_count_24h', 'importance': 0.027696}, {'feature': 'subscriber_count_upload', 'importance': 0.027473}, {'feature': 'colorfulness', 'importance': 0.026917}, {'feature': 'brightness', 'importance': 0.026657}, {'feature': 'hours_since_publish_upload', 'importance': 0.026383}, {'feature': 'comment_count_velocity_24h', 'importance': 0.025151}, {'feature': 'hours_since_publish_24h', 'importance': 0.024906}]"
v2.0_xgb,v2.0_xgb,v2.0,v2.0_mixed_70real,XGBoost,4998,814,"{'1': 458, '0': 356}","{'1': 2792, '0': 2206}",0.7971,0.7297,0.7409,0.7991,0.7689,0.7125,0.6404,0.6746,"[[228, 128], [92, 366]]",39,"['duration_seconds', 'face_count', 'brightness', 'colorfulness', 'view_count_upload', 'like_count_upload', 'comment_count_upload', 'subscriber_count_upload', 'hours_since_publish_upload', 'view_count_24h', 'like_count_24h', 'comment_count_24h', 'subscriber_count_24h', 'hours_since_publish_24h', 'baseline_baseline_video_count', 'view_count_velocity_24h', 'like_count_velocity_24h', 'comment_count_velocity_24h', 'subscriber_count_velocity_24h', 'views_per_sub_upload', 'likes_per_sub_upload', 'comments_per_sub_upload', 'views_per_sub_24h', 'likes_per_sub_24h', 'comments_per_sub_24h', 'title_category', 'desc_category', 'title_length', 'title_word_count', 'desc_length', 'desc_link_count', 'desc_hashtag_count', 'tag_count', 'has_tags', 'publish_hour', 'publish_dayofweek', 'publish_is_weekend', 'is_short', 'duration_minutes']","[{'feature': 'like_count_24h', 'importance': 0.051958}, {'feature': 'is_short', 'importance': 0.048324}, {'feature': 'view_count_24h', 'importance': 0.047435}, {'feature': 'likes_per_sub_24h', 'importance': 0.038305}, {'feature': 'like_count_velocity_24h', 'importance': 0.037982}, {'feature': 'views_per_sub_24h', 'importance': 0.037785}, {'feature': 'baseline_baseline_video_count', 'importance': 0.034531}, {'feature': 'comment_count_24h', 'importance': 0.034431}, {'feature': 'title_category', 'importance': 0.033184}, {'feature': 'view_count_velocity_24h', 'importance': 0.032349}, {'feature': 'desc_hashtag_count', 'importance': 0.028563}, {'feature': 'duration_minutes', 'importance': 0.028306}, {'feature': 'duration_seconds', 'importance': 0.026326}, {'feature': 'comments_per_sub_24h', 'importance': 0.025379}, {'feature': 'desc_length', 'importance': 0.02531}, {'feature': 'comment_count_velocity_24h', 'importance': 0.025309}, {'feature': 'subscriber_count_24h', 'importance': 0.024964}, {'feature': 'publish_hour', 'importance': 0.024613}, {'feature': 'like_count_upload', 'importance': 0.02447}, {'feature': 'view_count_upload', 'importance': 0.023937}]"
v3.0_lr_l1,v3.0_lr_l1,v3.0,v3.0_mixed_80real,LogisticRegression,5298,1010,"{'1': 566, '0': 444}","{'1': 3032, '0': 2266}",0.6557,0.6406,0.6416,0.8127,0.7171,0.6382,0.4212,0.5075,"[[187, 257], [106, 460]]",36,"['duration_seconds', 'brightness', 'colorfulness', 'view_count_upload', 'like_count_upload', 'comment_count_upload', 'subscriber_count_upload', 'view_count_24h', 'like_count_24h', 'comment_count_24h', 'subscriber_count_24h', 'hours_since_publish_24h', 'baseline_baseline_video_count', 'view_count_velocity_24h', 'like_count_velocity_24h', 'comment_count_velocity_24h', 'subscriber_count_velocity_24h', 'views_per_sub_upload', 'likes_per_sub_upload', 'comments_per_sub_upload', 'views_per_sub_24h', 'likes_per_sub_24h', 'comments_per_sub_24h', 'title_category', 'desc_category', 'title_length', 'title_word_count', 'desc_length', 'desc_link_count', 'desc_hashtag_count', 'tag_count', 'has_tags', 'publish_hour', 'publish_dayofweek', 'publish_is_weekend', 'is_short']","[{'feature': 'view_count_24h', 'coefficient': -1.509711}, {'feature': 'like_count_24h', 'coefficient': 1.119677}, {'feature': 'subscriber_count_24h', 'coefficient': -0.717954}, {'feature': 'subscriber_count_upload', 'coefficient': 0.670445}, {'feature': 'view_count_velocity_24h', 'coefficient': -0.437854}, {'feature': 'views_per_sub_24h', 'coefficient': -0.420885}, {'feature': 'view_count_upload', 'coefficient': 0.297052}, {'feature': 'like_count_velocity_24h', 'coefficient': 0.283425}, {'feature': 'is_short', 'coefficient': -0.251308}, {'feature': 'likes_per_sub_24h', 'coefficient': 0.234518}, {'feature': 'title_word_count', 'coefficient': -0.213234}, {'feature': 'like_count_upload', 'coefficient': -0.208866}, {'feature': 'title_length', 'coefficient': 0.139656}, {'feature': 'desc_length', 'coefficient': 0.127591}, {'feature': 'comment_count_velocity_24h', 'coefficient': 0.123989}, {'feature': 'title_category', 'coefficient': -0.103796}, {'feature': 'comment_count_24h', 'coefficient': 0.093962}, {'feature': 'hours_since_publish_24h', 'coefficient': -0.089764}, {'feature': 'publish_hour', 'coefficient': -0.084877}, {'feature': 'comments_per_sub_24h', 'coefficient': 0.082451}]"
v3.0_rf,v3.0_rf,v3.0,v3.0_mixed_80real,RandomForest,5298,1010,"{'1': 566, '0': 444}","{'1': 3032, '0': 2266}",0.8246,0.7604,0.7571,0.8428,0.7977,0.7658,0.6554,0.7063,"[[291, 153], [89, 477]]",36,"['duration_seconds', 'brightness', 'colorfulness', 'view_count_upload', 'like_count_upload', 'comment_count_upload', 'subscriber_count_upload', 'view_count_24h', 'like_count_24h', 'comment_count_24h', 'subscriber_count_24h', 'hours_since_publish_24h', 'baseline_baseline_video_count', 'view_count_velocity_24h', 'like_count_velocity_24h', 'comment_count_velocity_24h', 'subscriber_count_velocity_24h', 'views_per_sub_upload', 'likes_per_sub_upload', 'comments_per_sub_upload', 'views_per_sub_24h', 'likes_per_sub_24h', 'comments_per_sub_24h', 'title_category', 'desc_category', 'title_length', 'title_word_count', 'desc_length', 'desc_link_count', 'desc_hashtag_count', 'tag_count', 'has_tags', 'publish_hour', 'publish_dayofweek', 'publish_is_weekend', 'is_short']","[{'feature': 'view_count_24h', 'importance': 0.073347}, {'feature': 'view_count_velocity_24h', 'importance': 0.064544}, {'feature': 'likes_per_sub_24h', 'importance': 0.058814}, {'feature': 'views_per_sub_24h', 'importance': 0.058601}, {'feature': 'like_count_24h', 'importance': 0.058543}, {'feature': 'like_count_velocity_24h', 'importance': 0.052874}, {'feature': 'duration_seconds', 'importance': 0.050206}, {'feature': 'view_count_upload', 'importance': 0.039521}, {'feature': 'views_per_sub_upload', 'importance': 0.037383}, {'feature': 'likes_per_sub_upload', 'importance': 0.035157}, {'feature': 'colorfulness', 'importance': 0.032643}, {'feature': 'like_count_upload', 'importance': 0.031265}, {'feature': 'brightness', 'importance': 0.031195}, {'feature': 'subscriber_count_upload', 'importance': 0.03058}, {'feature': 'subscriber_count_24h', 'importance': 0.029392}, {'feature': 'comments_per_sub_24h', 'importance': 0.029059}, {'feature': 'hours_since_publish_24h', 'importance': 0.027164}, {'feature': 'comment_count_velocity_24h', 'importance': 0.026315}, {'feature': 'title_length', 'importance': 0.025566}, {'feature': 'comment_count_24h', 'importance': 0.023738}]"
v3.0_xgb,v3.0_xgb,v3.0,v3.0_mixed_80real,XGBoost,5298,1010,"{'1': 566, '0': 444}","{'1': 3032, '0': 2266}",0.8303,0.7624,0.7791,0.8039,0.7913,0.7394,0.7095,0.7241,"[[315, 129], [111, 455]]",36,"['duration_seconds', 'brightness', 'colorfulness', 'view_count_upload', 'like_count_upload', 'comment_count_upload', 'subscriber_count_upload', 'view_count_24h', 'like_count_24h', 'comment_count_24h', 'subscriber_count_24h', 'hours_since_publish_24h', 'baseline_baseline_video_count', 'view_count_velocity_24h', 'like_count_velocity_24h', 'comment_count_velocity_24h', 'subscriber_count_velocity_24h', 'views_per_sub_upload', 'likes_per_sub_upload', 'comments_per_sub_upload', 'views_per_sub_24h', 'likes_per_sub_24h', 'comments_per_sub_24h', 'title_category', 'desc_category', 'title_length', 'title_word_count', 'desc_length', 'desc_link_count', 'desc_hashtag_count', 'tag_count', 'has_tags', 'publish_hour', 'publish_dayofweek', 'publish_is_weekend', 'is_short']","[{'feature': 'is_short', 'importance': 0.072386}, {'feature': 'baseline_baseline_video_count', 'importance': 0.062001}, {'feature': 'like_count_24h', 'importance': 0.046228}, {'feature': 'view_count_24h', 'importance': 0.043293}, {'feature': 'views_per_sub_24h', 'importance': 0.041453}, {'feature': 'likes_per_sub_24h', 'importance': 0.037648}, {'feature': 'like_count_velocity_24h', 'importance': 0.034699}, {'feature': 'view_count_velocity_24h', 'importance': 0.034668}, {'feature': 'title_category', 'importance': 0.032783}, {'feature': 'duration_seconds', 'importance': 0.027879}, {'feature': 'comment_count_24h', 'importance': 0.027598}, {'feature': 'desc_hashtag_count', 'importance': 0.026867}, {'feature': 'comment_count_velocity_24h', 'importance': 0.026485}, {'feature': 'desc_link_count', 'importance': 0.025714}, {'feature': 'comments_per_sub_24h', 'importance': 0.025626}, {'feature': 'publish_hour', 'importance': 0.025418}, {'feature': 'subscriber_count_upload', 'importance': 0.025311}, {'feature': 'desc_category', 'importance': 0.025113}, {'feature': 'comments_per_sub_upload', 'importance': 0.025071}, {'feature': 'comment_count_upload', 'importance': 0.025061}]"
v3.1_lr_l1,v3.1_lr_l1,v3.1,v3.1_mixed_80real,LogisticRegression,5298,1010,"{'1': 566, '0': 444}","{'1': 3032, '0': 2266}",0.7715,0.7109,0.7175,0.7986,0.7559,0.7,0.5991,0.6456,"[[266, 178], [114, 452]]",50,"['duration_seconds', 'brightness', 'colorfulness', 'view_count_upload', 'like_count_upload', 'comment_count_upload', 'subscriber_count_upload', 'view_count_24h', 'like_count_24h', 'comment_count_24h', 'subscriber_count_24h', 'hours_since_publish_24h', 'baseline_baseline_video_count', 'view_count_velocity_24h', 'like_count_velocity_24h', 'comment_count_velocity_24h', 'subscriber_count_velocity_24h', 'view_velocity_upload', 'like_velocity_upload', 'view_velocity_per_sub_24h', 'like_velocity_per_sub_24h', 'view_velocity_ratio', 'view_velocity_acceleration', 'like_velocity_acceleration', 'view_count_upload_vs_baseline', 'like_count_upload_vs_baseline', 'like_rate_upload', 'like_rate_24h', 'views_per_sub_upload', 'likes_per_sub_upload', 'comments_per_sub_upload', 'views_per_sub_24h', 'likes_per_sub_24h', 'comments_per_sub_24h', 'title_category', 'desc_category', 'title_length', 'title_word_count', 'desc_length', 'desc_link_count', 'desc_hashtag_count', 'tag_count', 'has_tags', 'publish_hour', 'publish_dayofweek', 'publish_is_weekend', 'is_short', 'is_long', 'duration_bucket', 'has_face']","[{'feature': 'like_rate_24h', 'coefficient': 3.840319}, {'feature': 'view_count_upload_vs_baseline', 'coefficient': -2.113708}, {'feature': 'view_count_24h', 'coefficient': -1.740666}, {'feature': 'like_count_24h', 'coefficient': 1.132578}, {'feature': 'view_velocity_upload', 'coefficient': 0.838711}, {'feature': 'like_count_upload_vs_baseline', 'coefficient': 0.802939}, {'feature': 'like_velocity_upload', 'coefficient': -0.468718}, {'feature': 'view_count_velocity_24h', 'coefficient': -0.408118}, {'feature': 'subscriber_count_24h', 'coefficient': -0.36052}, {'feature': 'subscriber_count_upload', 'coefficient': 0.347872}, {'feature': 'views_per_sub_24h', 'coefficient': -0.343548}, {'feature': 'baseline_baseline_video_count', 'coefficient': -0.289786}, {'feature': 'like_count_velocity_24h', 'coefficient': 0.269493}, {'feature': 'title_word_count', 'coefficient': -0.250999}, {'feature': 'likes_per_sub_24h', 'coefficient': 0.200901}, {'feature': 'like_rate_upload', 'coefficient': -0.178477}, {'feature': 'title_category', 'coefficient': -0.170097}, {'feature': 'title_length', 'coefficient': 0.154282}, {'feature': 'like_count_upload', 'coefficient': -0.12946}, {'feature': 'comment_count_velocity_24h', 'coefficient': 0.129224}]"
